Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
8,No,38,0,4370,71,5,17,3,Month,Active,30,197.64,No
0,No,39,0,318,5,7,4,2,Month,Not_Active,25,46.035,No
10,No,37,0,2453,60,359,24,3,Month,Active,30,1536.52,No
10,No,38,0,4198,66,1,35,1,Month,Active,15,240.02,No
3,No,38,0,2393,58,2,33,1,Month,Active,15,145.805,No
11,No,38,1,3775,82,32,28,3,Month,Active,30,282.28,No
4,No,38,0,2360,39,285,18,3,Month,Active,30,1235.96,No
13,No,37,2,9115,121,144,43,3,Month,Active,30,945.44,No
7,No,38,0,13773,169,0,44,3,Month,Active,30,557.68,No
7,No,38,1,4515,83,2,25,3,Month,Active,30,191.92,No
6,No,38,0,5918,95,7,12,3,Month,Active,30,268.52,No
9,No,38,0,2238,54,8,17,3,Month,Not_Active,30,123.68,No
25,No,38,3,15140,225,54,32,3,Month,Active,30,830.6,No
4,No,38,1,3095,27,483,8,3,Month,Active,30,2056.88,No
9,No,37,0,15485,182,150,30,2,Month,Active,25,1380.015,No
3,No,37,1,6500,86,186,26,3,Month,Active,30,1007.44,No
0,No,37,0,875,14,0,11,2,Month,Not_Active,25,40.005,Yes
2,No,38,0,710,14,13,8,3,Month,Not_Active,30,80.96,No
0,No,37,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
3,No,37,0,7508,127,384,43,2,Month,Active,25,2071.575,No
7,No,37,1,11465,154,11,47,4,Month,Active,45,317.975,No
8,No,37,1,6718,75,108,37,2,Month,Active,25,791.685,No
23,Yes,33,0,955,47,16,17,2,Month,Not_Active,25,117.09,Yes
21,Yes,36,8,10435,93,1,42,5,Contract,Active,55,159.42,No
13,Yes,36,1,5818,98,26,24,2,Month,Active,25,383.22,Yes
1,No,34,0,2840,22,0,14,3,Month,Active,30,114.48,No
9,No,35,0,2990,41,9,16,3,Month,Not_Active,30,157.24,Yes
9,Yes,36,0,2268,44,34,31,3,Month,Not_Active,30,228.48,Yes
0,No,36,0,133,2,0,2,3,Month,Not_Active,30,5.4,Yes
1,No,36,0,1668,25,0,6,3,Month,Active,30,67.72,No
3,No,33,1,6785,97,14,22,5,Month,Active,55,124.23,No
0,Yes,36,0,628,7,9,4,4,Month,Not_Active,45,38.375,Yes
0,No,36,1,338,4,4,2,5,Month,Active,55,11.13,No
25,No,31,3,16075,238,0,80,2,Contract,Active,25,734.085,No
6,No,34,3,6965,116,271,33,2,Contract,Active,25,1538.145,No
2,No,36,0,3718,82,2,28,2,Month,Active,25,180,No
3,No,35,0,1665,44,38,20,3,Month,Not_Active,30,220.36,No
6,No,36,0,2780,53,175,23,2,Month,Active,25,914.985,No
4,No,27,1,1315,36,193,11,2,Contract,Active,25,929.295,No
4,No,26,0,1568,39,30,68,4,Month,Active,45,115.175,No
11,No,27,0,700,25,10,7,2,Month,Not_Active,25,77.625,No
0,No,26,0,825,10,21,3,4,Month,Not_Active,45,73.375,Yes
10,No,25,0,1225,32,19,13,2,Month,Active,25,142.065,No
2,No,25,0,3225,61,8,23,3,Month,Active,30,163.44,No
2,No,18,0,1695,26,28,14,2,Month,Active,25,203.445,No
16,No,17,1,6393,141,85,42,2,Contract,Active,25,676.53,No
12,No,15,0,8933,171,73,40,4,Month,Active,45,410.1,No
8,No,16,3,2853,45,31,19,3,Contract,Active,30,239.92,No
2,No,9,1,4390,40,215,10,3,Month,Active,30,1037.2,No
3,No,9,1,1488,19,0,7,3,Month,Active,30,60.28,Yes
11,No,40,1,4430,74,10,19,3,Month,Active,30,220.16,No
3,No,41,1,378,8,12,6,3,Month,Active,30,63.44,No
13,No,39,1,2513,63,364,26,3,Month,Active,30,1559.04,No
13,No,40,1,4258,69,6,37,1,Month,Active,15,270.985,No
6,No,40,1,2453,61,7,35,2,Month,Active,25,144.63,No
14,No,40,2,3835,85,37,30,3,Contract,Active,30,304.8,No
7,No,40,1,2420,42,290,20,3,Month,Active,30,1258.48,No
16,No,39,3,9175,124,149,45,3,Month,Active,30,967.96,No
10,No,40,1,13833,172,5,46,3,Month,Active,30,580.2,No
10,No,40,2,4575,86,7,27,3,Month,Active,30,214.44,No
9,No,40,1,5978,98,12,14,3,Month,Active,30,291.04,No
12,No,40,1,2298,57,13,19,3,Month,Active,30,146.2,No
28,No,40,4,15200,228,59,34,3,Month,Active,30,853.12,No
7,No,40,2,3155,30,488,10,3,Month,Active,30,2079.4,No
12,No,39,1,15545,185,155,32,2,Month,Active,25,1405.35,No
6,No,39,2,6560,89,191,28,3,Month,Active,30,1029.96,No
3,No,39,1,935,17,5,13,2,Month,Active,25,65.34,No
5,No,40,1,770,17,18,10,3,Month,Active,30,103.48,No
3,Yes,39,1,60,3,5,2,2,Month,Active,25,25.335,Yes
6,No,39,1,7568,130,389,45,3,Month,Active,30,1863.92,No
10,No,39,2,11525,157,16,49,4,Contract,Active,45,332.05,No
11,No,39,2,6778,78,113,39,2,Month,Active,25,817.02,No
26,Yes,35,1,1015,50,21,19,3,Month,Active,30,126.6,Yes
24,Yes,38,9,10495,96,6,44,5,Contract,Active,55,167.865,No
16,No,38,2,5878,101,31,26,2,Month,Active,25,408.555,No
4,No,36,1,2900,25,5,16,3,Month,Active,30,137,No
12,No,37,1,3050,44,14,18,3,Month,Active,30,179.76,Yes
12,Yes,38,1,2328,47,39,33,3,Month,Active,30,251,Yes
3,No,38,1,193,5,5,4,3,Month,Active,30,27.92,Yes
4,No,38,1,1728,28,5,8,4,Month,Active,45,56.4,No
6,No,35,2,6845,100,19,24,5,Month,Active,55,132.675,No
3,No,38,1,688,10,14,6,4,Month,Active,45,52.45,Yes
3,No,38,2,398,7,9,4,5,Month,Active,55,19.575,No
28,No,33,4,16135,241,5,82,2,Month,Active,25,759.42,No
9,Yes,36,4,7025,119,276,35,3,Contract,Active,30,1389.76,No
5,No,38,1,3778,85,7,30,3,Month,Active,30,182.52,No
6,No,37,1,1725,47,43,22,3,Month,Active,30,242.88,No
9,No,38,1,2840,56,180,25,2,Month,Active,25,940.32,No
7,No,29,2,1375,39,198,13,3,Contract,Active,30,848.56,No
7,No,28,1,1628,42,35,70,4,Month,Active,45,129.25,No
14,No,29,1,760,28,15,9,3,Month,Active,30,91.52,No
3,No,28,1,885,13,26,5,4,Month,Active,45,87.45,No
13,No,27,1,1285,35,24,15,2,Month,Active,25,167.4,No
5,No,27,1,3285,64,13,25,3,Month,Active,30,185.96,No
5,No,20,1,1755,29,33,16,2,Month,Active,25,228.78,No
19,No,19,2,6453,144,90,44,2,Contract,Active,25,701.865,No
15,No,17,1,8993,174,78,42,5,Month,Active,55,254.505,No
11,No,18,4,2913,48,36,21,3,Month,Active,30,262.44,No
5,No,11,2,4450,43,220,12,3,Month,Active,30,1059.72,No
6,Yes,11,2,1548,22,5,9,3,Month,Active,30,82.8,Yes
5,No,36,0,4310,68,0,15,2,Month,Active,25,197.01,No
0,No,37,0,258,2,2,2,2,Month,Not_Active,25,20.7,No
7,No,35,0,2393,57,354,22,2,Month,Active,25,1703.25,No
7,No,36,0,4138,63,0,33,1,Month,Active,15,231.055,No
0,No,36,0,2333,55,0,31,1,Month,Active,15,131.34,No
8,No,36,0,3715,79,27,26,3,Month,Active,30,259.76,No
1,No,36,0,2300,36,280,16,3,Month,Active,30,1213.44,No
10,No,35,1,9055,118,139,41,3,Month,Active,30,922.92,No
4,No,36,0,13713,166,0,42,3,Month,Active,30,555.16,No
4,No,36,0,4455,80,0,23,3,Month,Active,30,181.4,No
3,No,36,0,5858,92,2,10,2,Month,Active,25,276.75,No
6,Yes,36,0,2178,51,3,15,3,Month,Not_Active,30,101.16,No
22,No,36,2,15080,222,49,30,3,Month,Active,30,808.08,No
1,No,36,0,3035,24,478,6,3,Month,Active,30,2034.36,No
6,No,35,0,15425,179,145,28,2,Month,Active,25,1354.68,No
0,No,35,0,6440,83,181,24,3,Month,Active,30,984.92,No
0,No,35,0,815,11,0,9,2,Month,Not_Active,25,37.17,No
0,No,36,0,650,11,8,6,2,Month,Not_Active,25,65.745,No
0,No,35,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
0,No,35,0,7448,124,379,41,2,Month,Active,25,2046.24,No
4,No,35,0,11405,151,6,45,3,Month,Active,30,486.24,No
5,No,35,0,6658,72,103,35,2,Month,Active,25,766.35,No
20,No,31,0,895,44,11,15,2,Month,Not_Active,25,91.755,Yes
18,No,34,7,10375,90,0,40,4,Month,Active,45,261.625,No
10,No,34,0,5758,95,21,22,2,Month,Active,25,357.885,Yes
0,No,32,0,2780,19,0,12,3,Month,Active,30,111.96,No
6,No,33,0,2930,38,4,14,2,Month,Not_Active,25,151.56,Yes
6,Yes,34,0,2208,41,29,29,3,Month,Not_Active,30,205.96,Yes
0,Yes,34,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,34,0,1608,22,0,4,3,Month,Active,30,65.2,No
0,No,31,0,6725,94,9,20,4,Month,Active,45,192.975,No
0,No,34,0,568,4,4,2,4,Month,Not_Active,45,24.3,Yes
0,No,34,0,0,0,0,0,5,Month,Active,55,0,No
22,No,29,2,16015,235,0,78,2,Month,Active,25,731.25,No
3,No,32,2,6905,113,266,31,2,Contract,Active,25,1512.81,No
0,No,34,0,3658,79,0,26,2,Month,Active,25,168.165,No
0,No,33,0,1605,41,33,18,3,Month,Not_Active,30,197.84,No
3,No,34,0,2720,50,170,21,2,Month,Active,25,889.65,No
1,No,25,0,1255,33,188,9,2,Contract,Active,25,903.96,No
1,No,24,0,1508,36,25,66,4,Month,Active,45,101.1,No
8,No,25,0,640,22,5,5,2,Month,Not_Active,25,52.29,No
0,Yes,24,0,765,7,16,1,4,Month,Not_Active,45,59.3,Yes
7,No,23,0,1165,29,14,11,2,Month,Active,25,116.73,No
0,No,23,0,3165,58,3,21,3,Month,Active,30,140.92,No
0,No,16,0,1635,23,23,12,2,Month,Active,25,178.11,No
13,No,15,0,6333,138,80,40,1,Contract,Active,15,795.905,No
9,No,13,0,8873,168,68,38,4,Month,Active,45,396.025,No
5,No,14,2,2793,42,26,17,3,Month,Active,30,217.4,No
0,No,7,0,4330,37,210,8,3,Month,Active,30,1014.68,No
0,No,7,0,1428,16,0,5,3,Month,Active,30,57.76,Yes
9,No,42,1,4450,73,15,21,3,Month,Active,30,240.92,No
1,Yes,43,0,398,7,17,8,3,Month,Not_Active,30,84.2,Yes
11,No,41,1,2533,62,369,28,3,Month,Active,30,1579.8,No
11,No,42,1,4278,68,11,39,1,Month,Active,15,299.53,No
4,No,42,1,2473,60,12,37,2,Month,Active,25,167.985,No
12,No,42,2,3855,84,42,32,3,Month,Active,30,325.56,No
5,No,42,1,2440,41,295,22,3,Month,Active,30,1279.24,No
14,No,41,3,9195,123,154,47,3,Month,Active,30,988.72,No
8,No,42,1,13853,171,10,48,3,Month,Active,30,600.96,No
8,No,42,2,4595,85,12,29,3,Month,Active,30,235.2,No
7,No,42,1,5998,97,17,16,3,Month,Active,30,311.8,No
10,No,42,0,2318,56,18,21,3,Month,Not_Active,30,166.96,No
26,No,42,4,15220,227,64,36,3,Contract,Active,30,873.88,No
5,No,42,2,3175,29,493,12,3,Month,Active,30,2100.16,No
10,No,41,1,15565,184,160,34,2,Month,Active,25,1428.705,No
4,No,41,2,6580,88,196,30,3,Month,Active,30,1050.72,No
1,No,41,0,955,16,10,15,2,Month,Not_Active,25,88.695,No
3,No,42,0,790,16,23,12,3,Month,Not_Active,30,124.24,No
1,No,41,0,80,2,10,4,2,Month,Not_Active,25,48.69,Yes
4,No,41,1,7588,129,394,47,3,Month,Active,30,1884.68,No
8,No,41,2,11545,156,21,51,4,Month,Active,45,345.025,No
9,No,41,2,6798,77,118,41,2,Month,Active,25,840.375,No
24,Yes,37,0,1035,49,26,21,3,Month,Not_Active,30,147.36,Yes
22,Yes,40,9,10515,95,11,46,5,Month,Active,55,175.65,No
14,No,40,2,5898,100,36,28,2,Month,Active,25,431.91,Yes
2,No,38,1,2920,24,10,18,3,Month,Active,30,157.76,No
10,No,39,0,3070,43,19,20,3,Month,Not_Active,30,200.52,Yes
10,Yes,40,0,2348,46,44,35,3,Month,Not_Active,30,271.76,Yes
1,No,40,0,213,4,10,6,3,Month,Not_Active,30,48.68,Yes
2,No,40,1,1748,27,10,10,4,Month,Active,45,69.375,No
4,No,37,2,6865,99,24,26,5,Month,Active,55,140.46,No
1,Yes,40,0,708,9,19,8,4,Month,Not_Active,45,65.425,Yes
1,No,40,2,418,6,14,6,5,Month,Active,55,27.36,No
26,No,35,4,16155,240,10,84,2,Month,Active,25,782.775,No
7,Yes,38,4,7045,118,281,37,2,Contract,Active,25,1586.835,No
3,No,40,1,3798,84,12,32,3,Month,Active,30,203.28,No
4,No,39,0,1745,46,48,24,3,Month,Not_Active,30,263.64,No
7,No,40,1,2860,55,185,27,2,Month,Active,25,963.675,No
5,No,31,2,1395,38,203,15,2,Contract,Active,25,977.985,No
5,No,30,1,1648,41,40,72,4,Month,Active,45,142.225,No
12,No,31,0,780,27,20,11,3,Month,Not_Active,30,112.28,No
1,No,30,0,905,12,31,7,4,Month,Not_Active,45,100.425,No
11,No,29,1,1305,34,29,17,2,Month,Active,25,190.755,No
3,No,29,1,3305,63,18,27,3,Month,Active,30,206.72,No
3,No,22,1,1775,28,38,18,2,Month,Active,25,252.135,No
17,No,21,2,6473,143,95,46,2,Contract,Active,25,725.22,No
13,No,19,1,9013,173,83,44,5,Month,Active,55,262.29,No
9,No,20,4,2933,47,41,23,3,Month,Active,30,283.2,No
